Time,kx,ky,Amp
0,21,28,2.54E-23
0,22,28,9.92E-24
0,23,28,3.64E-23
0,24,28,1.34E-24
0,25,28,5.01E-23
0,26,28,8.84E-24
0,27,28,3.17E-23
0,28,28,6.74E-24
0,29,28,1.88E-23
0,30,28,8.91E-24
0,31,28,8.02E-23
0,0,29,6.97E-24
0,1,29,2.24E-22
0,2,29,2.07E-23
0,3,29,3.63E-23
0,4,29,2.75E-23
0,5,29,6.36E-23
0,6,29,2.04E-23
0,7,29,4.14E-23
0,8,29,2.24E-23
0,9,29,4.91E-23
0,10,29,2.46E-23
0,11,29,6.17E-23
0,12,29,8.69E-24
0,13,29,3.58E-23
0,14,29,1.40E-23
0,15,29,2.13E-22
0,16,29,3.11E-23
0,17,29,1.40E-22
0,18,29,2.08E-23
0,19,29,7.40E-23
0,20,29,1.85E-23
0,21,29,6.94E-23
0,22,29,2.62E-23
0,23,29,1.66E-22
0,24,29,4.14E-23
0,25,29,8.52E-23
0,26,29,3.52E-23
0,27,29,8.82E-23
0,28,29,5.82E-24
0,29,29,5.51E-23
0,30,29,2.15E-23
0,31,29,3.05E-22
0,0,30,5.77E-25
0,1,30,9.15E-24
0,2,30,1.40E-23
0,3,30,1.95E-23
0,4,30,2.16E-24
0,5,30,2.52E-23
0,6,30,5.95E-24
0,7,30,7.98E-23
0,8,30,1.76E-25
0,9,30,6.08E-23
0,10,30,2.90E-24
0,11,30,2.63E-23
0,12,30,8.15E-24
0,13,30,2.46E-23
0,14,30,6.41E-24
0,15,30,3.58E-23
0,16,30,7.97E-24
0,17,30,3.34E-23
0,18,30,5.70E-24
0,19,30,2.15E-23
0,20,30,5.09E-24
0,21,30,1.74E-23
0,22,30,3.12E-24
0,23,30,7.81E-23
0,24,30,7.21E-25
0,25,30,5.22E-23
0,26,30,6.23E-24
0,27,30,4.23E-23
0,28,30,7.29E-24
0,29,30,1.85E-23
0,30,30,4.18E-24
0,31,30,1.50E-22
0,0,31,2.02E-24
0,1,31,5.89E-22
0,2,31,1.31E-23
0,3,31,3.02E-23
0,4,31,3.06E-23
0,5,31,1.04E-22
0,6,31,2.09E-23
0,7,31,4.17E-23
0,8,31,3.48E-24
0,9,31,6.18E-23
0,10,31,9.25E-24
0,11,31,9.27E-23
0,12,31,1.60E-23
0,13,31,9.41E-23
0,14,31,4.84E-24
0,15,31,1.24E-22
0,16,31,2.52E-23
0,17,31,5.48E-23
0,18,31,2.27E-23
0,19,31,6.92E-23
0,20,31,1.42E-23
0,21,31,1.71E-23
0,22,31,1.19E-23
0,23,31,1.12E-22
0,24,31,5.30E-23
0,25,31,1.26E-22
0,26,31,3.82E-23
0,27,31,9.20E-23
0,28,31,1.05E-23
0,29,31,6.47E-23
0,30,31,3.16E-23
0,31,31,3.06E-22
0,0,32,2.49E-24
0,1,32,4.32E-22
0,2,32,4.43E-24
0,3,32,3.05E-23
0,4,32,7.91E-24
0,5,32,9.78E-24
0,6,32,3.37E-24
0,7,32,6.12E-23
0,8,32,9.29E-24
0,9,32,4.10E-23
0,10,32,1.10E-24
0,11,32,4.72E-23
0,12,32,5.60E-24
0,13,32,6.32E-23
0,14,32,4.07E-24
0,15,32,4.95E-23
0,16,32,1.61E-24
0,17,32,5.19E-23
0,18,32,6.25E-24
0,19,32,4.21E-23
0,20,32,5.59E-24
0,21,32,2.41E-23
0,22,32,1.06E-23
0,23,32,4.25E-23
0,24,32,3.91E-24
0,25,32,1.20E-23
0,26,32,8.44E-24
0,27,32,6.02E-23
0,28,32,8.44E-24
0,29,32,4.39E-23
0,30,32,1.07E-23
0,31,32,8.09E-23
0,0,33,3.30E-23
0,1,33,1.06E-21
0,2,33,2.31E-23
0,3,33,1.02E-22
0,4,33,2.82E-24
0,5,33,8.56E-23
0,6,33,9.33E-24
0,7,33,1.29E-22
0,8,33,1.39E-23
0,9,33,5.94E-23
0,10,33,2.29E-23
0,11,33,8.43E-23
0,12,33,2.64E-23
0,13,33,7.35E-23
0,14,33,1.24E-23
0,15,33,1.59E-22
0,16,33,2.43E-23
0,17,33,1.38E-22
0,18,33,1.60E-23
0,19,33,7.29E-23
0,20,33,2.26E-23
0,21,33,3.18E-23
0,22,33,3.66E-24
0,23,33,7.41E-23
0,24,33,4.33E-23
0,25,33,1.38E-22
0,26,33,2.49E-23
